"Time","vera-rubin-simulator"
2020-11-24 11:56:00,
2020-11-24 11:56:30,307
2020-11-24 11:57:00,527
2020-11-24 11:57:30,739
2020-11-24 11:58:00,952
2020-11-24 11:58:30,1173
2020-11-24 11:59:00,1398
2020-11-24 11:59:30,1624
2020-11-24 12:00:00,1848
2020-11-24 12:00:30,2071
2020-11-24 12:01:00,2187
2020-11-24 12:01:30,2202
2020-11-24 12:02:00,2213
2020-11-24 12:02:30,2232
2020-11-24 12:03:00,2236
2020-11-24 12:03:30,2237
2020-11-24 12:04:00,2236
2020-11-24 12:04:30,2227
2020-11-24 12:05:00,2229
2020-11-24 12:05:30,2226
2020-11-24 12:06:00,2227
2020-11-24 12:06:30,2228
2020-11-24 12:07:00,2228
2020-11-24 12:07:30,2228
2020-11-24 12:08:00,2229
2020-11-24 12:08:30,2226
2020-11-24 12:09:00,2227
2020-11-24 12:09:30,2238
2020-11-24 12:10:00,2235
2020-11-24 12:10:30,2237
2020-11-24 12:11:00,2237
2020-11-24 12:11:30,2236
2020-11-24 12:12:00,2237
2020-11-24 12:12:30,2237
2020-11-24 12:13:00,2247
2020-11-24 12:13:30,2238
2020-11-24 12:14:00,2211
2020-11-24 12:14:30,2230
2020-11-24 12:15:00,2226
2020-11-24 12:15:30,2226
2020-11-24 12:16:00,2226
2020-11-24 12:16:30,2226
2020-11-24 12:17:00,2226
2020-11-24 12:17:30,2226
2020-11-24 12:18:00,2230
2020-11-24 12:18:30,2231
2020-11-24 12:19:00,2241

