"Time","vera-rubin-simulator"
2020-11-24 15:24:00,
2020-11-24 15:24:30,47638617
2020-11-24 15:25:00,78259191
2020-11-24 15:25:30,108479406
2020-11-24 15:26:00,138421025
2020-11-24 15:26:30,168217552
2020-11-24 15:27:00,198114823
2020-11-24 15:27:30,227791951
2020-11-24 15:28:00,257796880
2020-11-24 15:28:30,287436171
2020-11-24 15:29:00,299659785
2020-11-24 15:29:30,299200685
2020-11-24 15:30:00,298899740
2020-11-24 15:30:30,297652592
2020-11-24 15:31:00,297789358
2020-11-24 15:31:30,297784967
2020-11-24 15:32:00,298462393
2020-11-24 15:32:30,297787665
2020-11-24 15:33:00,297535239
2020-11-24 15:33:30,297154885
2020-11-24 15:34:00,297470196
2020-11-24 15:34:30,297424638
2020-11-24 15:35:00,296725613
2020-11-24 15:35:30,296266432
2020-11-24 15:36:00,294080541
2020-11-24 15:36:30,292571745
2020-11-24 15:37:00,289987060
2020-11-24 15:37:30,287066249
2020-11-24 15:38:00,284443194
2020-11-24 15:38:30,281336454
2020-11-24 15:39:00,279245111
2020-11-24 15:39:30,278255911
2020-11-24 15:40:00,278704825
2020-11-24 15:40:30,278818497
2020-11-24 15:41:00,280810112
2020-11-24 15:41:30,283487729
2020-11-24 15:42:00,287835797
2020-11-24 15:42:30,290256799
2020-11-24 15:43:00,292443249
2020-11-24 15:43:30,294746810
2020-11-24 15:44:00,296758807
2020-11-24 15:44:30,298168419

