"Time","vera-rubin-simulator"
2020-11-23 17:46:00,
2020-11-23 17:46:30,
2020-11-23 17:47:00,9482655
2020-11-23 17:47:30,19271448
2020-11-23 17:48:00,29024699
2020-11-23 17:48:30,38907215
2020-11-23 17:49:00,48756866
2020-11-23 17:49:30,59390090
2020-11-23 17:50:00,70006133
2020-11-23 17:50:30,80640192
2020-11-23 17:51:00,91275629
2020-11-23 17:51:30,101850674
2020-11-23 17:52:00,102904036
2020-11-23 17:52:30,103824649
2020-11-23 17:53:00,104530389
2020-11-23 17:53:30,105346757
2020-11-23 17:54:00,105762955
2020-11-23 17:54:30,105783405
2020-11-23 17:55:00,105711304
2020-11-23 17:55:30,105650508
2020-11-23 17:56:00,105666034
2020-11-23 17:56:30,105612767
2020-11-23 17:57:00,105655554
2020-11-23 17:57:30,105602283
2020-11-23 17:58:00,105626392
2020-11-23 17:58:30,105604918
2020-11-23 17:59:00,105596955
2020-11-23 17:59:30,105619920
2020-11-23 18:00:00,105676598
2020-11-23 18:00:30,105622885
2020-11-23 18:01:00,105636560
2020-11-23 18:01:30,105657650
2020-11-23 18:02:00,105669134
2020-11-23 18:02:30,105669251
2020-11-23 18:03:00,105650319
2020-11-23 18:03:30,105638737
2020-11-23 18:04:00,105668512
2020-11-23 18:04:30,105655052
2020-11-23 18:05:00,105724094
2020-11-23 18:05:30,105737112
2020-11-23 18:06:00,105657255
2020-11-23 18:06:30,105663037

