"Time","vera-rubin-simulator"
2020-11-23 17:46:00,
2020-11-23 17:46:30,
2020-11-23 17:47:00,103
2020-11-23 17:47:30,209
2020-11-23 17:48:00,316
2020-11-23 17:48:30,424
2020-11-23 17:49:00,531
2020-11-23 17:49:30,647
2020-11-23 17:50:00,763
2020-11-23 17:50:30,878
2020-11-23 17:51:00,995
2020-11-23 17:51:30,1110
2020-11-23 17:52:00,1122
2020-11-23 17:52:30,1132
2020-11-23 17:53:00,1140
2020-11-23 17:53:30,1148
2020-11-23 17:54:00,1153
2020-11-23 17:54:30,1153
2020-11-23 17:55:00,1152
2020-11-23 17:55:30,1152
2020-11-23 17:56:00,1152
2020-11-23 17:56:30,1151
2020-11-23 17:57:00,1152
2020-11-23 17:57:30,1151
2020-11-23 17:58:00,1151
2020-11-23 17:58:30,1151
2020-11-23 17:59:00,1151
2020-11-23 17:59:30,1151
2020-11-23 18:00:00,1152
2020-11-23 18:00:30,1151
2020-11-23 18:01:00,1152
2020-11-23 18:01:30,1151
2020-11-23 18:02:00,1152
2020-11-23 18:02:30,1152
2020-11-23 18:03:00,1152
2020-11-23 18:03:30,1152
2020-11-23 18:04:00,1152
2020-11-23 18:04:30,1152
2020-11-23 18:05:00,1153
2020-11-23 18:05:30,1152
2020-11-23 18:06:00,1152
2020-11-23 18:06:30,1152

