"Time","vera-rubin-simulator"
2020-11-27 09:18:00,
2020-11-27 09:18:30,
2020-11-27 09:19:00,28453141
2020-11-27 09:19:30,48095679
2020-11-27 09:20:00,68139797
2020-11-27 09:20:30,88071558
2020-11-27 09:21:00,108774355
2020-11-27 09:21:30,130445887
2020-11-27 09:22:00,151904458
2020-11-27 09:22:30,173345087
2020-11-27 09:23:00,194759538
2020-11-27 09:23:30,206471273
2020-11-27 09:24:00,208782324
2020-11-27 09:24:30,210489439
2020-11-27 09:25:00,211900023
2020-11-27 09:25:30,213481079
2020-11-27 09:26:00,213520209
2020-11-27 09:26:30,213494833
2020-11-27 09:27:00,213510169
2020-11-27 09:27:30,213557952
2020-11-27 09:28:00,213539486
2020-11-27 09:28:30,213442421
2020-11-27 09:29:00,213503095
2020-11-27 09:29:30,213497149
2020-11-27 09:30:00,213431159
2020-11-27 09:30:30,213515158
2020-11-27 09:31:00,213502884
2020-11-27 09:31:30,213523166
2020-11-27 09:32:00,213539463
2020-11-27 09:32:30,213547008
2020-11-27 09:33:00,213552941
2020-11-27 09:33:30,213557919
2020-11-27 09:34:00,213577978
2020-11-27 09:34:30,213530626
2020-11-27 09:35:00,213462326
2020-11-27 09:35:30,213465827
2020-11-27 09:36:00,213448850
2020-11-27 09:36:30,213472829
2020-11-27 09:37:00,213345095
2020-11-27 09:37:30,213413295
2020-11-27 09:38:00,213411742
2020-11-27 09:38:30,213428510
2020-11-27 09:39:00,213456604
2020-11-27 09:39:30,213475182
2020-11-27 09:40:00,213492843
2020-11-27 09:40:30,213513049
2020-11-27 09:41:00,213541827
2020-11-27 09:41:30,213522073
2020-11-27 09:42:00,213510866
2020-11-27 09:42:30,213446637

