"Time","vera-rubin-simulator"
2020-11-27 10:59:30,
2020-11-27 11:00:00,
2020-11-27 11:00:30,387
2020-11-27 11:01:00,819
2020-11-27 11:01:30,1256
2020-11-27 11:02:00,1690
2020-11-27 11:02:30,2148
2020-11-27 11:03:00,2618
2020-11-27 11:03:30,3087
2020-11-27 11:04:00,3555
2020-11-27 11:04:30,4022
2020-11-27 11:05:00,4512
2020-11-27 11:05:30,4567
2020-11-27 11:06:00,4603
2020-11-27 11:06:30,4637
2020-11-27 11:07:00,4663
2020-11-27 11:07:30,4665
2020-11-27 11:08:00,4665
2020-11-27 11:08:30,4665
2020-11-27 11:09:00,4663
2020-11-27 11:09:30,4664
2020-11-27 11:10:00,4664
2020-11-27 11:10:30,4664
2020-11-27 11:11:00,4664
2020-11-27 11:11:30,4663
2020-11-27 11:12:00,4664
2020-11-27 11:12:30,4664
2020-11-27 11:13:00,4664
2020-11-27 11:13:30,4665
2020-11-27 11:14:00,4666
2020-11-27 11:14:30,4667
2020-11-27 11:15:00,4666
2020-11-27 11:15:30,4667
2020-11-27 11:16:00,4667
2020-11-27 11:16:30,4667
2020-11-27 11:17:00,4666
2020-11-27 11:17:30,4667
2020-11-27 11:18:00,4665
2020-11-27 11:18:30,4665
2020-11-27 11:19:00,4665
2020-11-27 11:19:30,4665
2020-11-27 11:20:00,4663
2020-11-27 11:20:30,4663
2020-11-27 11:21:00,4663

