"Time","vera-rubin-simulator"
2020-11-24 11:15:30,
2020-11-24 11:16:00,12499430
2020-11-24 11:16:30,22066124
2020-11-24 11:17:00,31953462
2020-11-24 11:17:30,41659364
2020-11-24 11:18:00,51470075
2020-11-24 11:18:30,61962325
2020-11-24 11:19:00,72398089
2020-11-24 11:19:30,82763815
2020-11-24 11:20:00,93175781
2020-11-24 11:20:30,100570350
2020-11-24 11:21:00,101556550
2020-11-24 11:21:30,102288374
2020-11-24 11:22:00,102994497
2020-11-24 11:22:30,103730694
2020-11-24 11:23:00,103864700
2020-11-24 11:23:30,103805114
2020-11-24 11:24:00,103738756
2020-11-24 11:24:30,103774093
2020-11-24 11:25:00,103764724
2020-11-24 11:25:30,103732682
2020-11-24 11:26:00,103714468
2020-11-24 11:26:30,103759591
2020-11-24 11:27:00,103856212
2020-11-24 11:27:30,103947961
2020-11-24 11:28:00,104014642
2020-11-24 11:28:30,104169097
2020-11-24 11:29:00,104321293
2020-11-24 11:29:30,104346947
2020-11-24 11:30:00,104374476
2020-11-24 11:30:30,104372585
2020-11-24 11:31:00,104347758
2020-11-24 11:31:30,104383241
2020-11-24 11:32:00,104351512
2020-11-24 11:32:30,104241939
2020-11-24 11:33:00,104206688
2020-11-24 11:33:30,104145008
2020-11-24 11:34:00,104097085
2020-11-24 11:34:30,104101032
2020-11-24 11:35:00,104001721
2020-11-24 11:35:30,104121813
2020-11-24 11:36:00,104099032
2020-11-24 11:36:30,104050502
2020-11-24 11:37:00,104059392
2020-11-24 11:37:30,104029679
2020-11-24 11:38:00,103930949
2020-11-24 11:38:30,103882047
2020-11-24 11:39:00,103674209
2020-11-24 11:39:30,103612086
2020-11-24 11:40:00,103553837
2020-11-24 11:40:30,103406314
2020-11-24 11:41:00,103322680
2020-11-24 11:41:30,103186488
2020-11-24 11:42:00,103166936
2020-11-24 11:42:30,103254696
2020-11-24 11:43:00,103305065
2020-11-24 11:43:30,103391008
2020-11-24 11:44:00,103443341
2020-11-24 11:44:30,103510080
2020-11-24 11:45:00,103689628
2020-11-24 11:45:30,103713765
2020-11-24 11:46:00,103914470
2020-11-24 11:46:30,104065552
2020-11-24 11:47:00,104168374
2020-11-24 11:47:30,104271807
2020-11-24 11:48:00,104373483
2020-11-24 11:48:30,104562050
2020-11-24 11:49:00,104627583
2020-11-24 11:49:30,104685614
2020-11-24 11:50:00,104755158
2020-11-24 11:50:30,104852294
2020-11-24 11:51:00,104865016
2020-11-24 11:51:30,104815532

