"Time","vera-rubin-simulator"
2020-11-24 11:15:30,
2020-11-24 11:16:00,136
2020-11-24 11:16:30,240
2020-11-24 11:17:00,348
2020-11-24 11:17:30,454
2020-11-24 11:18:00,561
2020-11-24 11:18:30,675
2020-11-24 11:19:00,789
2020-11-24 11:19:30,902
2020-11-24 11:20:00,1016
2020-11-24 11:20:30,1096
2020-11-24 11:21:00,1107
2020-11-24 11:21:30,1115
2020-11-24 11:22:00,1123
2020-11-24 11:22:30,1131
2020-11-24 11:23:00,1132
2020-11-24 11:23:30,1132
2020-11-24 11:24:00,1131
2020-11-24 11:24:30,1131
2020-11-24 11:25:00,1131
2020-11-24 11:25:30,1131
2020-11-24 11:26:00,1131
2020-11-24 11:26:30,1131
2020-11-24 11:27:00,1132
2020-11-24 11:27:30,1133
2020-11-24 11:28:00,1134
2020-11-24 11:28:30,1135
2020-11-24 11:29:00,1137
2020-11-24 11:29:30,1137
2020-11-24 11:30:00,1138
2020-11-24 11:30:30,1138
2020-11-24 11:31:00,1137
2020-11-24 11:31:30,1138
2020-11-24 11:32:00,1138
2020-11-24 11:32:30,1136
2020-11-24 11:33:00,1136
2020-11-24 11:33:30,1135
2020-11-24 11:34:00,1135
2020-11-24 11:34:30,1135
2020-11-24 11:35:00,1134
2020-11-24 11:35:30,1135
2020-11-24 11:36:00,1135
2020-11-24 11:36:30,1134
2020-11-24 11:37:00,1134
2020-11-24 11:37:30,1134
2020-11-24 11:38:00,1133
2020-11-24 11:38:30,1132
2020-11-24 11:39:00,1130
2020-11-24 11:39:30,1129
2020-11-24 11:40:00,1129
2020-11-24 11:40:30,1127
2020-11-24 11:41:00,1126
2020-11-24 11:41:30,1125
2020-11-24 11:42:00,1125
2020-11-24 11:42:30,1125
2020-11-24 11:43:00,1126
2020-11-24 11:43:30,1127
2020-11-24 11:44:00,1127
2020-11-24 11:44:30,1128
2020-11-24 11:45:00,1130
2020-11-24 11:45:30,1130
2020-11-24 11:46:00,1133
2020-11-24 11:46:30,1134
2020-11-24 11:47:00,1135
2020-11-24 11:47:30,1137
2020-11-24 11:48:00,1138
2020-11-24 11:48:30,1140
2020-11-24 11:49:00,1140
2020-11-24 11:49:30,1141
2020-11-24 11:50:00,1142
2020-11-24 11:50:30,1143
2020-11-24 11:51:00,1143
2020-11-24 11:51:30,1142

